127.0.0.1 - - [21/Jan/2026:21:57:32 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [21/Jan/2026:21:57:32 +0530] "GET /StudentManagementPortal/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Jan/2026:21:57:32 +0530] "GET /StudentManagementPortal/login.jsp HTTP/1.1" 200 433
0:0:0:0:0:0:0:1 - - [21/Jan/2026:21:57:32 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [21/Jan/2026:21:57:38 +0530] "GET /StudentManagementPortal/student/dashboard.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Jan/2026:21:57:38 +0530] "GET /StudentManagementPortal/student/login.jsp HTTP/1.1" 200 493
0:0:0:0:0:0:0:1 - - [21/Jan/2026:21:57:57 +0530] "POST /StudentManagementPortal/student/StudentLoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Jan/2026:21:57:57 +0530] "GET /StudentManagementPortal/student/dashboard.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Jan/2026:21:57:57 +0530] "GET /StudentManagementPortal/student/login.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Jan/2026:21:57:57 +0530] "GET /StudentManagementPortal/student/dashboard.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Jan/2026:21:57:57 +0530] "GET /StudentManagementPortal/student/login.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Jan/2026:21:57:57 +0530] "GET /StudentManagementPortal/student/dashboard.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Jan/2026:21:57:57 +0530] "GET /StudentManagementPortal/student/login.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Jan/2026:21:57:57 +0530] "GET /StudentManagementPortal/student/dashboard.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Jan/2026:21:57:57 +0530] "GET /StudentManagementPortal/student/login.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Jan/2026:21:57:57 +0530] "GET /StudentManagementPortal/student/dashboard.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Jan/2026:21:57:57 +0530] "GET /StudentManagementPortal/student/login.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Jan/2026:21:57:57 +0530] "GET /StudentManagementPortal/student/dashboard.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Jan/2026:21:57:57 +0530] "GET /StudentManagementPortal/student/login.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Jan/2026:21:57:58 +0530] "GET /StudentManagementPortal/student/dashboard.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Jan/2026:21:57:58 +0530] "GET /StudentManagementPortal/student/login.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Jan/2026:21:57:58 +0530] "GET /StudentManagementPortal/student/dashboard.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Jan/2026:21:57:58 +0530] "GET /StudentManagementPortal/student/login.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Jan/2026:21:57:58 +0530] "GET /StudentManagementPortal/student/dashboard.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Jan/2026:21:57:58 +0530] "GET /StudentManagementPortal/student/login.jsp HTTP/1.1" 302 -
