127.0.0.1 - - [05/Mar/2026:17:21:16 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [05/Mar/2026:17:21:16 +0530] "GET /StudentManagementPortal/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Mar/2026:17:21:16 +0530] "GET /StudentManagementPortal/login.jsp HTTP/1.1" 200 433
0:0:0:0:0:0:0:1 - - [05/Mar/2026:17:21:16 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [05/Mar/2026:17:21:25 +0530] "POST /StudentManagementPortal/LoginServlet HTTP/1.1" 200 1309
0:0:0:0:0:0:0:1 - - [05/Mar/2026:17:21:30 +0530] "GET /StudentManagementPortal/admin/ListStudentsServlet HTTP/1.1" 200 2627
0:0:0:0:0:0:0:1 - - [05/Mar/2026:17:21:32 +0530] "GET /StudentManagementPortal/admin/HomeServlet HTTP/1.1" 200 1306
0:0:0:0:0:0:0:1 - - [05/Mar/2026:17:21:37 +0530] "GET /StudentManagementPortal/admin/admin/ListBatchServlet HTTP/1.1" 404 816
0:0:0:0:0:0:0:1 - - [05/Mar/2026:17:22:44 +0530] "GET /StudentManagementPortal/admin/LogoutServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Mar/2026:17:22:44 +0530] "GET /StudentManagementPortal/admin/login.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Mar/2026:17:22:44 +0530] "GET /StudentManagementPortal/login.jsp HTTP/1.1" 200 433
0:0:0:0:0:0:0:1 - - [05/Mar/2026:17:22:55 +0530] "POST /StudentManagementPortal/LoginServlet HTTP/1.1" 200 1334
0:0:0:0:0:0:0:1 - - [05/Mar/2026:17:23:00 +0530] "GET /StudentManagementPortal/admin/ListStudentsServlet HTTP/1.1" 200 2652
0:0:0:0:0:0:0:1 - - [05/Mar/2026:17:23:01 +0530] "GET /StudentManagementPortal/admin/ListBatchServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Mar/2026:17:23:01 +0530] "GET /StudentManagementPortal/WEB-INF/views/login.jsp HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [05/Mar/2026:17:25:44 +0530] "GET /StudentManagementPortal/admin/LogoutServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Mar/2026:17:25:44 +0530] "GET /StudentManagementPortal/admin/login.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Mar/2026:17:25:44 +0530] "GET /StudentManagementPortal/login.jsp HTTP/1.1" 200 433
0:0:0:0:0:0:0:1 - - [05/Mar/2026:17:25:50 +0530] "POST /StudentManagementPortal/LoginServlet HTTP/1.1" 200 1334
0:0:0:0:0:0:0:1 - - [05/Mar/2026:17:25:56 +0530] "GET /StudentManagementPortal/admin/ListStudentsServlet HTTP/1.1" 200 2652
0:0:0:0:0:0:0:1 - - [05/Mar/2026:17:25:58 +0530] "GET /StudentManagementPortal/admin/ListBatchServlet HTTP/1.1" 200 4263
0:0:0:0:0:0:0:1 - - [05/Mar/2026:18:22:06 +0530] "GET /StudentManagementPortal/admin/admin/BatchWiseStudentsServlet?id=3 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Mar/2026:18:22:06 +0530] "GET /StudentManagementPortal/login.jsp HTTP/1.1" 200 433
0:0:0:0:0:0:0:1 - - [05/Mar/2026:18:26:16 +0530] "GET /StudentManagementPortal/login.jsp HTTP/1.1" 200 433
0:0:0:0:0:0:0:1 - - [05/Mar/2026:18:26:22 +0530] "POST /StudentManagementPortal/LoginServlet HTTP/1.1" 200 1334
0:0:0:0:0:0:0:1 - - [05/Mar/2026:18:26:28 +0530] "GET /StudentManagementPortal/admin/ListBatchServlet HTTP/1.1" 200 4713
0:0:0:0:0:0:0:1 - - [05/Mar/2026:18:26:30 +0530] "GET /StudentManagementPortal/admin/BatchWiseStudentsServlet?id=3 HTTP/1.1" 200 3461
0:0:0:0:0:0:0:1 - - [05/Mar/2026:18:26:36 +0530] "GET /StudentManagementPortal/admin/admin/BatchWiseStudentsServlet?id=3&page=1&keyword=dat HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [05/Mar/2026:18:26:36 +0530] "GET /StudentManagementPortal/admin/admin/BatchWiseStudentsServlet?id=3&page=1&keyword=dat HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [05/Mar/2026:18:26:39 +0530] "GET /StudentManagementPortal/admin/admin/BatchWiseStudentsServlet?id=3&page=1&keyword=dathri HTTP/1.1" 404 824
